Dávka,Veková skupina,Čas publikovania,Vážený počet registrácii
2,18-19,2021-05-25 19:05:03,7669.279761904769
2,20-24,2021-05-25 19:05:03,19846.20833333411
2,25-29,2021-05-25 19:05:03,23570.192704517736
2,30-34,2021-05-25 19:05:03,37906.47853812837
2,35-39,2021-05-25 19:05:03,65856.99407096143
2,40-44,2021-05-25 19:05:03,85168.8093570974
2,45-49,2021-05-25 19:05:03,94378.6152180121
2,50-54,2021-05-25 19:05:03,87065.62824675237
2,55-59,2021-05-25 19:05:03,99736.58809801195
2,60-64,2021-05-25 19:05:03,70684.70815426343
2,65-69,2021-05-25 19:05:03,48201.434595959305
2,70-74,2021-05-25 19:05:03,13083.515079365134
2,75-79,2021-05-25 19:05:03,6249.183333333322
2,80-84,2021-05-25 19:05:03,3482.3333333333358
2,85-n,2021-05-25 19:05:03,1993.333333333332
1,00-17,2021-05-26 19:05:02,13887.00000000007
1,18-19,2021-05-26 19:05:02,12353.66666666681
1,20-24,2021-05-26 19:05:02,29403.435714285537
1,25-29,2021-05-26 19:05:02,27801.857142857163
1,30-34,2021-05-26 19:05:02,12764.666666666648
1,35-39,2021-05-26 19:05:02,9440.000000000015
1,40-44,2021-05-26 19:05:02,3170.3333333333335
1,45-49,2021-05-26 19:05:02,833.4999999999999
1,50-54,2021-05-26 19:05:02,334.00000000000006
1,55-59,2021-05-26 19:05:02,335.0000000000001
1,60-64,2021-05-26 19:05:02,278.25000000000006
1,65-69,2021-05-26 19:05:02,153.74999999999994
1,70-74,2021-05-26 19:05:02,87.49999999999997
1,75-79,2021-05-26 19:05:02,30.999999999999986
1,80-84,2021-05-26 19:05:02,21.000000000000004
1,85-n,2021-05-26 19:05:02,14.999999999999982
2,00-17,2021-05-26 19:05:02,3835.9999999999873
2,18-19,2021-05-26 19:05:02,7202.613095238077
2,20-24,2021-05-26 19:05:02,18792.60833333379
2,25-29,2021-05-26 19:05:02,22710.898260073307
2,30-34,2021-05-26 19:05:02,36197.3285381282
2,35-39,2021-05-26 19:05:02,65893.50359477091
2,40-44,2021-05-26 19:05:02,83610.02483328785
2,45-49,2021-05-26 19:05:02,92761.72205561814
2,50-54,2021-05-26 19:05:02,85985.89491341866
2,55-59,2021-05-26 19:05:02,94748.75476467893
2,60-64,2021-05-26 19:05:02,58261.87373949521
2,65-69,2021-05-26 19:05:02,33089.49025974037
2,70-74,2021-05-26 19:05:02,10123.450793650747
2,75-79,2021-05-26 19:05:02,4957.666666666658
2,80-84,2021-05-26 19:05:02,2716.6666666666697
2,85-n,2021-05-26 19:05:02,1555.0000000000032
1,00-17,2021-05-27 19:05:03,13855.00000000003
1,18-19,2021-05-27 19:05:03,12372.666666666755
1,20-24,2021-05-27 19:05:03,27396.316666666557
1,25-29,2021-05-27 19:05:03,23291.000000000167
1,30-34,2021-05-27 19:05:03,10039.33333333334
1,35-39,2021-05-27 19:05:03,6979.999999999998
1,40-44,2021-05-27 19:05:03,2220.8333333333326
1,45-49,2021-05-27 19:05:03,469.49999999999983
1,50-54,2021-05-27 19:05:03,327.0
1,55-59,2021-05-27 19:05:03,307.9999999999997
1,60-64,2021-05-27 19:05:03,287.25000000000006
1,65-69,2021-05-27 19:05:03,156.74999999999991
1,70-74,2021-05-27 19:05:03,95.49999999999994
1,75-79,2021-05-27 19:05:03,25.000000000000007
1,80-84,2021-05-27 19:05:03,18.0
1,85-n,2021-05-27 19:05:03,9.99999999999999
2,00-17,2021-05-27 19:05:03,4491.999999999985
2,18-19,2021-05-27 19:05:03,7748.613095238053
2,20-24,2021-05-27 19:05:03,19925.00833333371
2,25-29,2021-05-27 19:05:03,23944.898260073496
2,30-34,2021-05-27 19:05:03,39548.45930735952
2,35-39,2021-05-27 19:05:03,68494.10872297591
2,40-44,2021-05-27 19:05:03,85457.24149995475
2,45-49,2021-05-27 19:05:03,94913.22205561877
2,50-54,2021-05-27 19:05:03,87061.5234848474
2,55-59,2021-05-27 19:05:03,95714.0880980122
2,60-64,2021-05-27 19:05:03,58490.61252015904
2,65-69,2021-05-27 19:05:03,33148.82359307373
2,70-74,2021-05-27 19:05:03,10470.117460317422
2,75-79,2021-05-27 19:05:03,5115.666666666661
2,80-84,2021-05-27 19:05:03,2802.46666666667
2,85-n,2021-05-27 19:05:03,1587.0000000000032
1,00-17,2021-05-28 19:05:03,13722.999999999976
1,18-19,2021-05-28 19:05:03,11389.666666666686
1,20-24,2021-05-28 19:05:03,25633.38333333328
1,25-29,2021-05-28 19:05:03,19359.000000000044
1,30-34,2021-05-28 19:05:03,9712.333333333332
1,35-39,2021-05-28 19:05:03,4920.000000000001
1,40-44,2021-05-28 19:05:03,1751.8333333333337
1,45-49,2021-05-28 19:05:03,461.49999999999983
1,50-54,2021-05-28 19:05:03,309.00000000000017
1,55-59,2021-05-28 19:05:03,290.0
1,60-64,2021-05-28 19:05:03,239.75000000000003
1,65-69,2021-05-28 19:05:03,139.74999999999994
1,70-74,2021-05-28 19:05:03,80.50000000000001
1,75-79,2021-05-28 19:05:03,28.999999999999993
1,80-84,2021-05-28 19:05:03,17.0
1,85-n,2021-05-28 19:05:03,12.99999999999999
2,00-17,2021-05-28 19:05:03,5074.999999999981
2,18-19,2021-05-28 19:05:03,8330.613095238135
2,20-24,2021-05-28 19:05:03,21761.008333333775
2,25-29,2021-05-28 19:05:03,25809.89826007345
2,30-34,2021-05-28 19:05:03,42606.12597402626
2,35-39,2021-05-28 19:05:03,71553.90872297599
2,40-44,2021-05-28 19:05:03,89464.32483328781
2,45-49,2021-05-28 19:05:03,97555.86308125906
2,50-54,2021-05-28 19:05:03,88465.02348484768
2,55-59,2021-05-28 19:05:03,97240.53809801239
2,60-64,2021-05-28 19:05:03,59142.51252015884
2,65-69,2021-05-28 19:05:03,33212.423593073676
2,70-74,2021-05-28 19:05:03,10862.617460317442
2,75-79,2021-05-28 19:05:03,5305.666666666664
2,80-84,2021-05-28 19:05:03,2934.4666666666694
2,85-n,2021-05-28 19:05:03,1651.000000000002
1,00-17,2021-05-29 19:05:02,12835.000000000053
1,18-19,2021-05-29 19:05:02,11219.666666666686
1,20-24,2021-05-29 19:05:02,24525.583333333354
1,25-29,2021-05-29 19:05:02,16667.999999999996
1,30-34,2021-05-29 19:05:02,9036.333333333338
1,35-39,2021-05-29 19:05:02,3601.999999999999
1,40-44,2021-05-29 19:05:02,1475.8333333333342
1,45-49,2021-05-29 19:05:02,502.49999999999994
1,50-54,2021-05-29 19:05:02,332.00000000000006
1,55-59,2021-05-29 19:05:02,301.0
1,60-64,2021-05-29 19:05:02,271.75
1,65-69,2021-05-29 19:05:02,160.74999999999997
1,70-74,2021-05-29 19:05:02,89.49999999999997
1,75-79,2021-05-29 19:05:02,25.0
1,80-84,2021-05-29 19:05:02,15.999999999999993
1,85-n,2021-05-29 19:05:02,14.0
